Port;Bonus1;Bonus2;Bonus3;Bonus4;Bonus5
Road Town;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 1;Crew Bonus 3
Roseau;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 3
Saint George's Town;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 3;Crew Bonus 4
Saint John's;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Saint-Marc;Gunnery Bonus 1;Sailing Bonus 1;Hull Bonus 1;Mast and Rig Bonus 1;Empty
Salamanca;Gunnery Bonus 4;Sailing Bonus 2;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
San Agustín;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
San Juan;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Santiago de Cuba;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Santo Domingo;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
Savannah;Gunnery Bonus 3;Sailing Bonus 4;Hull Bonus 3;Mast and Rig Bonus 1;Crew Bonus 3
<<<<<<< HEAD:lib/gen-server/eu1-port-bonus.csv
Sunbury;Gunnery Bonus 1;Sailing Bonus 1;Empty;Empty;Empty
Trinidad;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Truxillo;Gunnery Bonus 4;Sailing Bonus 3;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
=======
Trinidad;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 1;Crew Bonus 4
Truxillo;Gunnery Bonus 4;Sailing Bonus 3;Hull Bonus 3;Mast and Rig Bonus 2;Crew Bonus 4
>>>>>>> master:src/lib/gen-server/eu1-port-bonus.csv
Vera Cruz;Gunnery Bonus 4;Sailing Bonus 4;Hull Bonus 4;Mast and Rig Bonus 2;Crew Bonus 4
